,content,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,answers,poststrat
,treatment_group,Age: 21 - 35,Age: 35-54,Age: 55+,Aided Awareness: Bud Light,Aided Awareness: Budweiser,Aided Awareness: Busch,Aided Awareness: Corona,Aided Awareness: Cutwater,Aided Awareness: Heineken,Aided Awareness: Michelob ULTRA,Aided Awareness: Pabst Blue Ribbon,Aided Awareness: Truly,Aided Awareness: White Claw,Beer Purchase Frequency: 1-2 times a month,Beer Purchase Frequency: 1-2 times a week,Beer Purchase Frequency: A few times a year,Beer Purchase Frequency: Everyday,Beer Purchase Frequency: Never,Customers: Anheuser-Busch Customers,Customers: Corona,Customers: Heineken,Customers: Pabst Blue Ribbon,Customers: Truly,Customers: White Claw,Education: College,Education: Non-University,Education: Postgrad,Gender: Men,Gender: Women,Income: $40k-$100k,Income: <$40k,Income: >$100k,Primary Shopper: Not primary shopper,Primary Shopper: Primary shopper,Region: Midwest,Region: Northeast,Region: South,Region: West,Store Preference: Club stores,Store Preference: Grocery stores ,Store Preference: Liquor Stores ,Store Preference: Natural food stores,Urbanization: City,Urbanization: Rural,Urbanization: Suburb,Please share any reactions or feedback you have on the video.,weight
64b9c2fcec8982001cf30bc3,Budweiser: Griffey Father’s Day,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,Its better and awesome ,0.7704413793472042
64b9c2fedb4574001fe242be,Budweiser: Griffey Father’s Day,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,The video was clear and good ,0.7704413793472042
64b9c354ec8982001cf30cde,Bud Light: NFL Pros,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,I love bud light ,0.7704413793472042
64b9c359535d2600244f848b,The Busch Guide: Shelter,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,It is very good and easy to use and very ,0.7704413793472042
64b9c47a5606a400245c5f13,ULTRA Club New Members Day,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,It made me feel better about my day ,0.813194390203756
64b9c48b3e3c1d0022b73364,ULTRA Club New Members Day,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,Yes indeed ,2.2755336358039213
64b9c4913e3c1d0022b73373,The Busch Guide: Shelter,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,Perfect good ,1.7423608227906962
64b9c4945606a400245c6005,Bud Light: Easy to Summer.mp4,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,All it did was show bud light its no motivation or anything in dis video,0.4036727940214817
64b9c4985606a400245c601c,Bud Light: Easy to Summer.mp4,True,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,Great video. Bud light ,0.813194390203756
