metric,filter,breakdown,treatment,segment,delta,baselineMean,baselineSampleSize,testGroupMean,testGroupSampleSize,ci_70_interval,ci_70_intervalLower,ci_70_intervalUpper,ci_80_interval,ci_80_intervalLower,ci_80_intervalUpper,ci_90_interval,ci_90_intervalLower,ci_90_intervalUpper,ci_95_interval,ci_95_intervalLower,ci_95_intervalUpper,effectiveSampleSize,pvalue,sem,std
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,ULTRA Club New Members Day,21 - 35,-1.4,63.6,561.0,62.3,297,1.2,1.2,1.2,1.5,1.5,1.5,1.9,1.9,1.9,2.2,2.2,2.2,281.4,0.232,1.1,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,ULTRA Club New Members Day,35-54,-0.9,61.2,372.0,60.2,190,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.0,3.0,3.0,158.5,0.561,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,ULTRA Club New Members Day,55+,-0.2,55.4,106.0,55.2,39,3.0,3.0,3.0,3.7,3.7,3.7,4.8,4.8,4.8,5.7,5.7,5.7,36.8,0.945,2.3,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,The Busch Guide: Shelter,21 - 35,-0.1,63.6,561.0,63.6,294,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,278.2,0.975,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,The Busch Guide: Shelter,35-54,3.0,61.2,372.0,64.2,186,1.5,1.5,1.5,1.8,1.8,1.8,2.3,2.3,2.3,2.8,2.8,2.8,154.8,0.033,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,The Busch Guide: Shelter,55+,6.6,55.4,106.0,62.0,48,2.7,2.7,2.7,3.3,3.3,3.3,4.3,4.3,4.3,5.1,5.1,5.1,45.9,0.011,2.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Bud Light: Easy to Summer.mp4,21 - 35,0.4,63.6,561.0,64.0,276,1.3,1.3,1.3,1.7,1.7,1.7,2.1,2.1,2.1,2.6,2.6,2.6,262.7,0.758,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Bud Light: Easy to Summer.mp4,35-54,1.5,61.2,372.0,62.6,187,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,153.7,0.339,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Bud Light: Easy to Summer.mp4,55+,2.6,55.4,106.0,58.0,40,2.6,2.6,2.6,3.3,3.3,3.3,4.2,4.2,4.2,5.0,5.0,5.0,37.8,0.315,2.5,0.3
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Budweiser: Griffey Father’s Day,21 - 35,2.0,63.6,561.0,65.6,274,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.8,2.8,2.8,257.5,0.173,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Budweiser: Griffey Father’s Day,35-54,0.6,61.2,372.0,61.7,185,1.7,1.7,1.7,2.1,2.1,2.1,2.6,2.6,2.6,3.2,3.2,3.2,152.5,0.718,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Budweiser: Griffey Father’s Day,55+,-0.5,55.4,106.0,54.9,51,2.9,2.9,2.9,3.6,3.6,3.6,4.7,4.7,4.7,5.6,5.6,5.6,48.5,0.865,2.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Bud Light: NFL Pros,21 - 35,-0.3,63.6,561.0,63.3,295,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,278.9,0.838,1.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Bud Light: NFL Pros,35-54,0.8,61.2,372.0,62.0,170,1.8,1.8,1.8,2.3,2.3,2.3,2.9,2.9,2.9,3.4,3.4,3.4,140.9,0.632,1.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Bud Light: NFL Pros,55+,2.9,55.4,106.0,58.4,38,3.1,3.1,3.1,3.8,3.8,3.8,4.9,4.9,4.9,5.9,5.9,5.9,36.1,0.327,2.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Anheuser-Busch _ That’s Who We Are,21 - 35,2.6,63.6,561.0,66.2,278,1.7,1.7,1.7,2.1,2.1,2.1,2.8,2.8,2.8,3.3,3.3,3.3,261.1,0.123,1.5,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Anheuser-Busch _ That’s Who We Are,35-54,2.6,61.2,372.0,63.8,177,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,142.8,0.077,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Age,Anheuser-Busch _ That’s Who We Are,55+,2.8,55.4,106.0,58.2,46,2.6,2.6,2.6,3.2,3.2,3.2,4.2,4.2,4.2,5.0,5.0,5.0,43.6,0.269,2.3,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Bud Light,-1.0,61.7,780.0,60.8,398,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.8,2.8,2.8,317.9,0.502,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Budweiser,-1.0,62.3,722.0,61.3,373,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,295.0,0.486,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Busch,-1.0,60.9,554.0,59.9,279,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,220.0,0.507,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Corona,-1.1,61.8,734.0,60.6,372,1.5,1.5,1.5,1.8,1.8,1.8,2.4,2.4,2.4,2.8,2.8,2.8,294.7,0.43,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Cutwater,-1.6,62.9,142.0,61.3,59,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,49.1,0.244,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Heineken,-1.2,61.6,660.0,60.4,334,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,266.1,0.428,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Michelob ULTRA,-0.8,60.0,542.0,59.1,261,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,208.1,0.586,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Pabst Blue Ribbon,-1.0,60.0,423.0,59.0,193,1.8,1.8,1.8,2.2,2.2,2.2,2.8,2.8,2.8,3.3,3.3,3.3,152.6,0.539,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Truly,-1.1,60.7,392.0,59.6,217,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,174.6,0.389,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,White Claw,-1.1,61.0,569.0,59.9,276,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,223.0,0.399,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Bud Light,2.3,61.7,780.0,64.0,383,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,297.4,0.1,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Budweiser,2.6,62.3,722.0,65.0,357,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,278.5,0.055,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Busch,2.3,60.9,554.0,63.2,259,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,201.2,0.118,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Corona,2.5,61.8,734.0,64.3,372,1.4,1.4,1.4,1.8,1.8,1.8,2.2,2.2,2.2,2.7,2.7,2.7,287.7,0.07,1.1,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Cutwater,2.1,62.9,142.0,64.9,62,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,46.4,0.117,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Heineken,2.7,61.6,660.0,64.3,321,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,250.8,0.052,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Michelob ULTRA,2.5,60.0,542.0,62.4,247,1.5,1.5,1.5,1.8,1.8,1.8,2.4,2.4,2.4,2.8,2.8,2.8,191.7,0.084,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Pabst Blue Ribbon,2.6,60.0,423.0,62.6,190,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,3.0,3.0,3.0,148.9,0.088,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Truly,0.9,60.7,392.0,61.6,197,1.3,1.3,1.3,1.7,1.7,1.7,2.1,2.1,2.1,2.5,2.5,2.5,155.0,0.465,1.2,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,White Claw,1.3,61.0,569.0,62.3,283,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,219.5,0.31,1.1,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Bud Light,1.3,61.7,780.0,63.0,376,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,285.9,0.387,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Budweiser,1.4,62.3,722.0,63.8,333,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,2.9,2.9,2.9,254.8,0.344,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Busch,1.2,60.9,554.0,62.1,240,1.7,1.7,1.7,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,186.3,0.463,1.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Corona,1.6,61.8,734.0,63.4,347,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,264.7,0.271,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Cutwater,1.9,62.9,142.0,64.8,76,1.7,1.7,1.7,2.1,2.1,2.1,2.8,2.8,2.8,3.3,3.3,3.3,60.2,0.257,1.7,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Heineken,1.6,61.6,660.0,63.2,307,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,238.0,0.298,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Michelob ULTRA,1.7,60.0,542.0,61.6,249,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,193.8,0.315,1.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Pabst Blue Ribbon,1.3,60.0,423.0,61.4,190,1.7,1.7,1.7,2.2,2.2,2.2,2.8,2.8,2.8,3.3,3.3,3.3,147.6,0.431,1.6,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Truly,1.5,60.7,392.0,62.2,206,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,3.0,3.0,3.0,166.0,0.33,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,White Claw,1.4,61.0,569.0,62.4,280,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,219.9,0.355,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Bud Light,0.9,61.7,780.0,62.6,401,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,306.3,0.573,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Budweiser,0.8,62.3,722.0,63.1,359,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,276.5,0.609,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Busch,0.8,60.9,554.0,61.8,273,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.3,3.3,3.3,211.2,0.625,1.5,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Corona,0.9,61.8,734.0,62.6,363,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,3.0,3.0,3.0,277.5,0.563,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Cutwater,2.0,62.9,142.0,64.9,68,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,52.6,0.212,1.6,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Heineken,0.9,61.6,660.0,62.6,320,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,246.4,0.553,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Michelob ULTRA,0.8,60.0,542.0,60.8,256,1.8,1.8,1.8,2.2,2.2,2.2,2.8,2.8,2.8,3.4,3.4,3.4,200.4,0.632,1.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Pabst Blue Ribbon,0.7,60.0,423.0,60.7,188,1.8,1.8,1.8,2.2,2.2,2.2,2.8,2.8,2.8,3.4,3.4,3.4,146.4,0.681,1.6,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Truly,1.6,60.7,392.0,62.3,185,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,144.6,0.273,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,White Claw,1.4,61.0,569.0,62.4,269,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,2.9,2.9,2.9,207.6,0.343,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,Bud Light,0.6,61.7,780.0,62.3,391,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.3,3.3,3.3,300.7,0.722,1.5,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,Budweiser,0.7,62.3,722.0,63.0,350,1.8,1.8,1.8,2.2,2.2,2.2,2.8,2.8,2.8,3.3,3.3,3.3,270.2,0.689,1.5,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,Busch,0.6,60.9,554.0,61.6,265,1.8,1.8,1.8,2.3,2.3,2.3,2.9,2.9,2.9,3.5,3.5,3.5,206.0,0.728,1.6,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,Corona,0.7,61.8,734.0,62.5,367,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,282.6,0.654,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,Cutwater,0.4,62.9,142.0,63.3,66,1.7,1.7,1.7,2.2,2.2,2.2,2.8,2.8,2.8,3.3,3.3,3.3,52.7,0.795,1.7,0.2
