,content,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,answers,poststrat
,treatment_group,Age-Gender Splits: Men 18-24,Age-Gender Splits: Men 25-44,Age-Gender Splits: Men 45-64,Age-Gender Splits: Men 65+,Age-Gender Splits: Women 18-24,Age-Gender Splits: Women 25-44,Age-Gender Splits: Women 45-64,Age-Gender Splits: Women 65+,Age: 18-34,Age: 35-54,Age: 55+,Annual Household Income: $100k-$150k,Annual Household Income: $40k-$80k,Annual Household Income: <$40k,Current iPhone Model: Other,Current iPhone Model: iPhone 11 (including Pro and Max),Current iPhone Model: iPhone 12 (including Pro and Max),Current iPhone Model: iPhone 13 (including Pro and Max),Current iPhone Model: iPhone 14 (including Pro and Max),Current iPhone Model: iPhone SE,Education: College,Education: Non-University,Education: Postgrad,Ethnicity: Asian & Pacific Islander,Ethnicity: Black,Ethnicity: Latinx,Ethnicity: Other,Ethnicity: White,Gender: Men,Gender: Women,Phone Type: Android,Phone Type: Other,Phone Type: iPhone,Region: Midwest,Region: Northeast,Region: South,Region: West,Smartphone Features: Advanced Photography & Editing Tools,"Smartphone Features: Notification Management (e.g., Focus Time, turning off notifications, etc)",Smartphone Features: Payments (Google Pay / Apple Pay),"Smartphone Features: Privacy Tools (e.g., limiting which apps can see your location)",Urbanization: City,Urbanization: Rural,Urbanization: Suburb,Please share any reactions or feedback you have on the video.,weight
64ff6f5c3d0fa3001d5e49ca,Unsend Texts_RIP Leon,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,It is very interesting to pertispect in,0.6791456188381466
64ff6f6289294c0024cea281,Battery for Miles,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,Amazing,0.3806128156086854
64ff6f6b3aabc7002004621b,Focus Mode,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,It was a cool ad. It was memorable.,1.5682446372139307
64ff6fcc65b6ab001ecc93f5,Action Mode,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,Pretty freaking amazing,2.0233031971084543
64ff6fef30152d002316cfbc,Crash Test,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,I do not have an I phone,2.63175716176894
64ff70168668d90026815985,Action Mode,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,It was a very good quality video the music kept me in tuned .,0.7015633853534847
64ff703356c5ad001e5e5379,Apple Pay,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,Not impressed,2.63175716176894
64ff703bedf2c4002c034acf,Crash Test,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,Crash detection ,2.63175716176894
64ff70547d9ac100245bb8fd,Action Mode,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,THE VIDEO WAS PRETTY COOL TO WATCH,0.3618483842281258
64ff7058a039ac001e19c0d4,Apple Pay,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,Very informative ,1.342226509521509
64ff70623aabc700200462b0,Battery for Miles,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,It took a while to understand what it was about.  I thought it was a tractor commercial at first glance.,2.0233031971084543
64ff70cc65b2920022bc1e69,Crash Test,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,I think that’s a nice feature for the Apple iPhone and I would unit,1.3605847381374994
64ff70f456c5ad001e5e545d,Apple Pay,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,Good,0.7015633853534847
64ff70f8d4353c001db7fa1b,Crash Test,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,I thought that the commercial was interesting because it talks about how durable the IPhone is.,2.349122163432431
64ff70f965b2920022bc1e7e,Apple Pay,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,False,It was entertaining ,1.342226509521509
64ff7101d9c82a0024d4d680,Apple Pay,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,not a fan of apple. I doubt the young lady would have so many issues using a card. I didn't.,1.146445719370538
64ff71022c4f3e001cb61fe0,Focus Mode,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,It doesn't make any sense ,1.843712446670789
64ff71028668d90026815a9e,Crash Test,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,I did not understand the purpose of the video,1.9558846048091567
64ff7106a039ac001e19c17a,Apple Pay,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,"boring, doesn't apply to me
",1.5682446372139307
64ff7119d9c82a0024d4d7ba,Focus Mode,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,I liked it ,0.7434640255093338
64ff711ad4353c001db7fa27,Focus Mode,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,It kind of met exactly what the background music said leave him alone he didn't want to bother to ran away from everybody,0.6423835042089158
64ff7126a039ac001e19c188,Focus Mode,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,I liked the sound,0.6791456188381466
64ff712d6118f800248bf3a2,Focus Mode,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,it was weird and scary,1.342226509521509
64ff713065b6ab001ecc953a,Focus Mode,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,I liked the concept ,0.5481587655374175
64ff713821dc2100227cec64,Crash Test,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,I will not be turned into a mindless robot like EVERYONE who has a cell phone!!!! I will NEVER OWN A CELL PHONE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2.0233031971084543
64ff713e6118f800248bf3a5,Focus Mode,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,High impact for me,2.63175716176894
64ff71413aabc7002004636a,Apple Pay,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,No interest,2.63175716176894
64ff71473aabc70020046370,Focus Mode,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,Very informative ,1.146445719370538
64ff7149c3a8660024871849,Unsend Texts_RIP Leon,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,Cute lizard,2.63175716176894
64ff714b89294c0024cea7d3,Focus Mode,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,Good ,1.0288952964374773
64ff71568668d90026815b50,Apple Pay,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,looked like the guy behind her paid with no resolve to customer checking out,1.9558846048091567
64ff716f2c4f3e001cb620ca,Apple Pay,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,Pay in Cash ,1.843712446670789
64ff7170d4353c001db7fa95,Apple Pay,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,It was stupid and not funny.,1.9558846048091567
64ff7170edf2c4002c034cfc,Focus Mode,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,I liked it when the man was in the tub eating his food ,1.3605847381374994
64ff717621dc2100227cecd8,Focus Mode,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,Nice music and engaged actors ,1.5682446372139307
64ff71887d9ac100245bbb22,Apple Pay,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,this situation is much too common.,2.0233031971084543
64ff718b7d9ac100245bbb28,Unsend Texts_RIP Leon,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,I hated it,1.342226509521509
64ff7194d4353c001db7fae8,Focus Mode,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,That was an awesome commercial very informative and I will remember it,1.342226509521509
64ff71963aabc70020046373,Focus Mode,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,Nice feature!,1.0366543693116297
64ff719ed9c82a0024d4dafa,Unsend Texts_RIP Leon,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,Informative,1.0288952964374773
64ff71a28668d90026815c99,Focus Mode,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,"It didn't make any sense, just people running around to get away from something they don't show until end.",2.0233031971084543
64ff71a67d9ac100245bbb4e,Unsend Texts_RIP Leon,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,how long can you undo?,1.0288952964374773
64ff71ab8668d90026815caa,Unsend Texts_RIP Leon,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,I'm glad the lizard was not dead.,1.5682446372139307
64ff71abd4353c001db7fb46,Focus Mode,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,I was very amused and kept trying to figure out what was going on until towards the end when it made sense.,1.9558846048091567
64ff71af122929001c0b9581,Focus Mode,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,Interesting ,1.710147877462263
64ff71c356c5ad001e5e564c,Unsend Texts_RIP Leon,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,I didn't understand it,1.342226509521509
64ff71ec21dc2100227cecf7,Unsend Texts_RIP Leon,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,at first it was kind of traumatic because the lizard appeared dead but I was happy and relieved when he hopped to his feet,1.3605847381374994
64ff71efd4353c001db7fbb0,Battery for Miles,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,True,False,True,False,"The video itself is fantastic, very original. The music however does not fit at all. Playing RAP music may entice an African American consumer but not me. ",0.7051044533690185
64ff72063d0fa3001d5e4c92,Battery for Miles,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,It was weird and not very good music.,2.63175716176894
64ff7208b5afe3001d4d5df0,Unsend Texts_RIP Leon,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,Very funny and memorable ,1.0288952964374773
64ff720ab5afe3001d4d5df3,Battery for Miles,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,True,False,False,False,True,That's pretty funny video I'm very cool,1.3605847381374994
64ff72133d0fa3001d5e4c9d,Battery for Miles,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,"Nice relaxing picture of a gentleman driving his tractor, seeing a cow and what company it was for.",2.0233031971084543
64ff721e3d0fa3001d5e4cc3,Battery for Miles,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,True,False,False,"I love the whole ads, it was fun watching",1.0172653505087292
64ff722c3ed4c0001d5a3f19,Battery for Miles,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False,False,True,Great video and messaging.,2.0233031971084543
64ff7232edf2c4002c034e15,Crash Test,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,Very tragic video,1.6238865863127185
64ff7233d4353c001db7fbbb,Focus Mode,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,Persons wanted to be alone with their thoughts and actions.,2.63175716176894
64ff723bd4353c001db7fbc6,Focus Mode,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,Didn't know what they was running from,1.8973335814507304
64ff723bd4353c001db7fbc9,Unsend Texts_RIP Leon,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,I was confused at first and then found the humor in it. ,1.0172653505087292
64ff723d65b2920022bc2146,Unsend Texts_RIP Leon,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,This is something I would not share on my phone,1.710147877462263
64ff723e65b6ab001ecc95ab,Action Mode,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,The quality of apple products always shine above the rest.,1.3605847381374994
64ff7241d4353c001db7fbd5,Action Mode,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,"I'm a mom, and can totally relate to wanting to capture those moments. ",0.6423835042089158
64ff7250baf3e7001bab5f10,Crash Test,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,annoying,1.710147877462263
64ff726089294c0024cea839,Crash Test,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,"Loved the music, and the crash test dummy.",1.824131980190936
64ff7276d4353c001db7fbf0,Battery for Miles,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,I love the ad,0.7363571498120363
64ff727765b2920022bc214e,Crash Test,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,a cute video highlighting new features,1.6791257945688118
64ff7288661495002133c2b9,Focus Mode,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,Loved it ,0.5990998502756476
64ff72962c4f3e001cb6257b,Crash Test,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,good ad,1.843712446670789
64ff72a9b5afe3001d4d5e97,Crash Test,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,"I had no idea of what the product was that was being advertised. When ATT popped up at the end, I was amazed ",1.710147877462263
64ff72b37d9ac100245bbbc4,Action Mode,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,  The mother knows it’s a memorable moment and she will not let anyone or anything get in her way while using her name IPhone 14.,2.63175716176894
64ff72b432eacc001e1b6225,Battery for Miles,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,I love the song and the visuals,1.146445719370538
64ff72b5baf3e7001bab5f29,Crash Test,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,Pretty interesting video. Nothing out of the ordinary or nothing exciting.,1.0628578721862898
64ff72b832eacc001e1b6236,Battery for Miles,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,Kind of funny and a good way to get someone interested in a product.,1.710147877462263
64ff72bb661495002133c2c9,Battery for Miles,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,True,True,False,True,False,It looked like just a nutty hip hop old guy on a tractor ad that told me nothing about either Verizon or iPhone,0.8886254826891152
64ff72bf30152d002316d6a8,Battery for Miles,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,"Liked it as an ad ,hate commercials in general ",1.824131980190936
64ff72db30152d002316d6ab,Battery for Miles,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,very clever and funny,2.63175716176894
64ff72e365b6ab001ecc95b8,Action Mode,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,"I didn't like the music at all, maybe if it were rock music I'd of loved it but that shit playing on it now sucked",0.8758771960931276
64ff72e665b2920022bc2163,Action Mode,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,I want a camera like that but I don't do I phones,1.5682446372139307
64ff72e7d9c82a0024d4dea9,Battery for Miles,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,Funny ,1.3605847381374994
64ff72f0c3a86600248719d5,Crash Test,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,"Thought the content was sad but a great message. Phone having ability to warn of crash 
",1.342226509521509
64ff72f432eacc001e1b645a,Crash Test,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,It’s good entertaining enjoyable ,0.6791456188381466
64ff72f589294c0024cea873,Battery for Miles,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,Liked it ,1.824131980190936
64ff72f989294c0024cea876,Crash Test,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,It made me laugh,1.3605847381374994
64ff7306baf3e7001bab5f2e,Action Mode,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,Music too loud,1.69558467369392
64ff730a6118f800248bf470,Action Mode,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,True,True,True,True,False,False,I like what is advertised but want it on an android phone,1.342226509521509
64ff7312c3a8660024871a1e,Battery for Miles,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,"I was puzzled for a while as to what was being advertised. That drew me in and made me want to watch the whole thing. The music was also incongruous with the video, which was amusing.",1.3605847381374994
64ff73197d9ac100245bbc00,Crash Test,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,Well I was like wow good car wasted,0.7363571498120363
64ff731a89294c0024cea8c7,Action Mode,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True,False,False,True,i like how they delivered the message,0.3806128156086854
64ff731d65b2920022bc2239,Action Mode,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,True,False,False,It was nice ,0.9487222433130538
64ff732789294c0024cea8d2,Action Mode,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False,False,True,"Used the product and showed a specific feature, looked cool",1.2848212027166577
64ff732f8668d90026815d3b,Battery for Miles,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,I was real confused at first but when the navigator voice came on it became obvious and really funny.  Loved it,1.3605847381374994
64ff733c56c5ad001e5e5694,Battery for Miles,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,False,True,I was not expecting that music in the background. It fit well with the ad .,0.9487222433130538
64ff734489294c0024cea8d5,Action Mode,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,Very funny to me but it got the point across love the music too ,0.7434640255093338
64ff7349a039ac001e19c325,Action Mode,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,False,ANother iphone commercial lol,1.0628578721862898
64ff734e3ed4c0001d5a3f59,Battery for Miles,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,The song was funny the man on the tractor was adorable.,1.6238865863127185
