metric,filter,breakdown,treatment,segment,delta,baselineMean,baselineSampleSize,testGroupMean,testGroupSampleSize,ci_70_interval,ci_70_intervalLower,ci_70_intervalUpper,ci_80_interval,ci_80_intervalLower,ci_80_intervalUpper,ci_90_interval,ci_90_intervalLower,ci_90_intervalUpper,ci_95_interval,ci_95_intervalLower,ci_95_intervalUpper,effectiveSampleSize,pvalue,sem,std
2a) Consider Purchasing,Android Users,Age,Unsend Texts_RIP Leon,18-34,4.2,44.2,187.0,48.4,101,2.1,2.1,2.1,2.6,2.6,2.6,3.4,3.4,3.4,4.0,4.0,4.0,87.5,0.04,1.8,0.2
2a) Consider Purchasing,Android Users,Age,Unsend Texts_RIP Leon,35-54,4.9,41.7,358.0,46.5,170,1.9,1.9,1.9,2.4,2.4,2.4,3.0,3.0,3.0,3.6,3.6,3.6,150.5,0.009,1.6,0.2
2a) Consider Purchasing,Android Users,Age,Unsend Texts_RIP Leon,55+,5.5,35.1,192.0,40.6,92,2.8,2.8,2.8,3.4,3.4,3.4,4.4,4.4,4.4,5.2,5.2,5.2,85.5,0.04,2.3,0.2
2a) Consider Purchasing,Android Users,Age,Crash Test,18-34,3.3,44.2,187.0,47.5,84,2.1,2.1,2.1,2.6,2.6,2.6,3.3,3.3,3.3,3.9,3.9,3.9,74.8,0.1,1.9,0.2
2a) Consider Purchasing,Android Users,Age,Crash Test,35-54,3.3,41.7,358.0,44.9,190,1.9,1.9,1.9,2.3,2.3,2.3,3.0,3.0,3.0,3.5,3.5,3.5,169.8,0.07,1.6,0.2
2a) Consider Purchasing,Android Users,Age,Crash Test,55+,3.3,35.1,192.0,38.4,109,2.8,2.8,2.8,3.5,3.5,3.5,4.5,4.5,4.5,5.4,5.4,5.4,100.2,0.227,2.2,0.2
2a) Consider Purchasing,Android Users,Age,Apple Pay,18-34,2.5,44.2,187.0,46.7,91,2.4,2.4,2.4,3.0,3.0,3.0,3.9,3.9,3.9,4.6,4.6,4.6,82.6,0.291,2.2,0.2
2a) Consider Purchasing,Android Users,Age,Apple Pay,35-54,4.2,41.7,358.0,45.9,192,2.1,2.1,2.1,2.5,2.5,2.5,3.3,3.3,3.3,3.9,3.9,3.9,170.7,0.034,1.7,0.2
2a) Consider Purchasing,Android Users,Age,Apple Pay,55+,6.0,35.1,192.0,41.1,89,2.8,2.8,2.8,3.4,3.4,3.4,4.4,4.4,4.4,5.3,5.3,5.3,84.2,0.026,2.0,0.2
2a) Consider Purchasing,Android Users,Age,Action Mode,18-34,5.6,44.2,187.0,49.8,99,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.3,3.3,3.3,84.5,0.001,1.5,0.2
2a) Consider Purchasing,Android Users,Age,Action Mode,35-54,7.1,41.7,358.0,48.7,188,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,3.0,3.0,3.0,166.0,0.0,1.5,0.1
2a) Consider Purchasing,Android Users,Age,Action Mode,55+,9.2,35.1,192.0,44.3,88,2.4,2.4,2.4,2.9,2.9,2.9,3.8,3.8,3.8,4.5,4.5,4.5,82.1,0.0,2.3,0.2
